Spot,male,12,thumbnails/IMG_6856.JPG
Paw,female,12,thumbnails/IMG_6919.JPG
Dina,female,10,thumbnails/IMG_6963.JPG
Chapa,female,13,thumbnails/IMG_7041.JPG
Cake,male,30,thumbnails/IMG_7116.JPG
Whiskey,female,48,thumbnails/IMG_7201.JPG
Alina,female,48,thumbnails/IMG_7340.JPG
Blackie,male,12,thumbnails/IMG_6869.JPG
Red,male,12,thumbnails/IMG_6923.JPG
Dream,male,12,thumbnails/IMG_6968.JPG
Buddy,male,180,thumbnails/IMG_7057.JPG
Rocky,male,60,thumbnails/IMG_7133.JPG
Sherry,female,72,thumbnails/IMG_7218.JPG
Ken,male,5,thumbnails/IMG_7260.JPG
Nike,male,144,thumbnails/IMG_7368.JPG
Lilu,female,36,thumbnails/IMG_6896.JPG
Nice,male,36,thumbnails/IMG_6970.JPG
Baby,male,24,thumbnails/IMG_7073.JPG
Cosmos,male,18,thumbnails/IMG_7143.JPG
Fortune,female,5,thumbnails/IMG_7221.JPG
Barbie,female,5,thumbnails/IMG_7268.JPG
Leo,male,120,thumbnails/IMG_7387.JPG
Buzz,female,36,thumbnails/IMG_7081.JPG
Anita,female,48,thumbnails/IMG_7160.JPG
Petrovich,male,156,thumbnails/IMG_7306.JPG
Gerda,female,108,thumbnails/IMG_7395.JPG
Timid,male,12,thumbnails/IMG_6910.JPG
Vesta,female,60,thumbnails/IMG_7094.JPG
Bingo,male,36,thumbnails/IMG_7179.JPG
Bloom,female,24,thumbnails/IMG_7109.JPG
Zarba,male,96,thumbnails/IMG_7190.JPG
Chiba,male,72,thumbnails/IMG_7323.JPG
Chocolate,male,108,thumbnails/IMG_1111.JPG